账号名称,抖音号,视频ID,作品标题,视频链接,发布时间,采集时间,播放量,点赞数,评论数,收藏数,分享数
科研华哥,98133784710,7657003804616871211,"论文机味太重？别再直接让AI润色了！ #AIGC #论文润色 #SCI写作 #人工智能 #研究生",https://www.douyin.com/video/7657003804616871211,2026-07-05T04:05:00.000Z,2026-08-04T17:28:06.520Z,,1702,274,2307,346
科研华哥,98133784710,7602100365877579044,"审稿人索要私有数据？千万别给！也别瞎编理由。 #SCI投稿 #审稿意见 #硕博圈 #研究生 #论文",https://www.douyin.com/video/7602100365877579044,2026-02-03T04:06:00.000Z,2026-08-04T17:28:06.520Z,,2208,106,1763,401
科研华哥,98133784710,7616580696663985451,"AI 写的论文一股“机味”？那是你不会用“学术投喂法”！ #论文润色 #AI写作 #ChatGPT指令 #科研干货 #SCI发表",https://www.douyin.com/video/7616580696663985451,2026-03-15T10:30:00.000Z,2026-08-04T17:28:06.520Z,,22807,4584,26638,3205
科研华哥,98133784710,7670072018121731961,"模型一微调就忘老本？四招治灾难性遗忘 微调老忘本，四招稳住就能力 #大模型 #微调 #深度学习 #研究生 #大学生",https://www.douyin.com/video/7670072018121731961,2026-08-04T07:16:45.000Z,2026-08-04T17:28:06.520Z,,4,1,1,0
科研华哥,98133784710,7669026886151982382,"你的消融实验90%都在凑字数！学会这三招破局 #科研 #论文写作 #辅导 #大学生 #研究生",https://www.douyin.com/video/7669026886151982382,2026-08-01T11:41:15.000Z,2026-08-04T17:28:06.520Z,,110,8,72,14
科研华哥,98133784710,7668574475784364788,"学术英语写作3招过关 审稿人说英语太差要求改语言？三招绕过重投陷阱 #SCI #论文 #大学生 #研究生 #期刊论文",https://www.douyin.com/video/7668574475784364788,2026-07-31T06:25:31.000Z,2026-08-04T17:28:06.520Z,,20,3,17,1
科研华哥,98133784710,7660781687202172187,"图文唱反调模型直接死机？教你用这招多模态冲突稳中SCI #计算机视觉 #SCI论文写作 #深度学习 #不留白的毕业vlog #研究生论文",https://www.douyin.com/video/7660781687202172187,2026-07-11T12:25:00.000Z,2026-08-04T17:28:06.520Z,,37,5,31,1
科研华哥,98133784710,7657003195964673280,"代码跑得好，公式写不出？ #数学建模 #公式推导 #深度学习 #SCI论文写作 #科研避坑",https://www.douyin.com/video/7657003195964673280,2026-07-04T04:05:00.000Z,2026-08-04T17:28:06.520Z,,34,8,37,6
科研华哥,98133784710,7657002230926609691,"Introduction写得像文献综述？ #引言写作 #Introduction #SCI写作 #论文退稿 #科研干货",https://www.douyin.com/video/7657002230926609691,2026-06-30T13:22:00.000Z,2026-08-04T17:28:06.520Z,,55,12,52,3
科研华哥,98133784710,7655581729834470682,"研0研一想发AI4Science？一招教你把传统工科缝进论文 #AI4Science #跨专业考研 #热传导 #科研日常 #论文发表",https://www.douyin.com/video/7655581729834470682,2026-06-28T23:57:00.000Z,2026-08-04T17:28:06.520Z,,39,8,26,6
科研华哥,98133784710,7654782444616305972,"消融实验被秒拒？今年一区审稿人真正奖励的是这种“压力测试” #消融实验 #深度学习 #SCI论文 #研究生论文 #科研干货",https://www.douyin.com/video/7654782444616305972,2026-06-27T12:40:00.000Z,2026-08-04T17:28:06.520Z,,40,4,37,13
科研华哥,98133784710,7652641339422608666,"同一个ResNet，为什么你永远比论文低2个点？ #深度学习 #Pytorch #SCI论文 #研究生论文 #科研干货",https://www.douyin.com/video/7652641339422608666,2026-06-21T10:30:00.000Z,2026-08-04T17:28:06.520Z,,37,1,24,6
